bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,68,22195,ccl,cutc1238,{},-3.13905,language,38.6217,,Cutchi-Swahili,'Cutchi-Swahili [cutc1238][ccl]-l-':1,22906,safe
False,0,0,0,,186,6261,cuv,cuvo1236,{},10.6448,language,14.0006,,Cuvok,'Cuvok [cuvo1236][cuv]-l-':1,8785,safe
False,0,0,0,,53,10343,xtu,cuya1240,{},18.0821,language,-96.7314,,Cuyamecalco Mixtec,'Cuyamecalco Mixtec [cuya1240][xtu]-l-':1,13225,definitely endangered
False,0,0,0,,207,12047,cyo,cuyo1237,{},10.3201,language,119.3,,Cuyonon,'Cuyonon [cuyo1237][cyo]-l-':1,14846,safe
False,0,0,0,,68,16041,bwy,cwib1235,{},11.4182,language,-2.95115,,Cwi Bwamu,'Cwi Bwamu [cwib1235][bwy]-l-':1,17973,safe
False,0,0,0,,186,11819,acy,cypr1248,{},35.1674,language,33.0943,,Cypriot Arabic,'Cypriot Arabic [cypr1248][acy]-l-':1,14676,definitely endangered
False,0,0,0,,179,6096,NOCODE_Cypriot-Greek,cypr1249,{},,language,,,Cypriot Greek,'Cypriot Greek [cypr1249]-l-':1,8588,safe
False,0,0,0,,150,4048,cse,czec1253,{},50.012,language,14.4774,,Czech Sign Language,'Czech Sign Language [czec1253][cse]-l-':1,6048,vulnerable
False,6,0,0,,179,8618,ces,czec1258,{},49.873398,language,15.10437,,Czech,"('Central Bohemian [cent1953]':1,'Czecho-Moravian [czec1259]':1,'Hanak [hana1242]':1,'Lach [lach1246]':1,'Northeast Bohemian [nort2596]':1,'Southwest Bohemian [sout1722]':1)'Czech [czec1258][ces]-l-':1",11356,safe
False,3,0,0,,336,12615,dao,daai1236,{},20.7347,language,93.7853,,Daai Chin,"('Kanpetiet Daai [kanp1238]':1,'Matupi Daai [matu1256]':1,'Paletwa Daai [pale1252]':1)'Daai Chin [daai1236][dao]-l-':1",15417,safe
False,2,0,0,,207,11849,kzf,daak1235,{},-1.21051,language,119.527,,Da'a Kaili,"('Da''a [daaa1238]':1,'Inde [inde1241]':1)'Da''a Kaili [daak1235][kzf]-l-':1",14717,safe
False,0,0,0,,319,1082,lni,daan1235,{},-6.43363,language,155.748,,Daantanai','Daantanai'' [daan1235][lni]-l-':1,3018,safe
False,0,0,0,,186,14627,dsh,daas1238,{},4.58879,language,35.9888,,Daasanach,'Daasanach [daas1238][dsh]-l-':1,16930,vulnerable
False,0,0,0,,57,516,dtn,daat1234,{},,language,,,Daats'iin,'Daats''iin [daat1234][dtn]-l-':1,2027,safe
False,2,0,0,,186,16933,dbr,daba1260,{},1.2179,language,43.3304,,Dabarre,"('Iroole [iroo1238]':1,'Nuclear Dabarre [nucl1703]':1)'Dabarre [daba1260][dbr]-l-':1",18825,safe
False,0,0,0,,32,1985,dbe,dabe1239,{},-2.05082,language,139.116,,Dabe,'Dabe [dabe1239][dbe]-l-':1,3570,definitely endangered
False,0,0,0,,179,179,xdc,daci1234,{},,language,,,Dacian,'Dacian [daci1234][xdc]-l-':1,780,extinct
False,4,0,0,,68,16030,dbd,dadi1249,{},9.62705,language,11.3587,,Dadiya,"('Kookwila [kook1241]':1,'Loofaa [loof1242]':1,'Loofiyo [loof1241]':1,'Tunga [tung1285]':1)'Dadiya [dadi1249][dbd]-l-':1",17954,safe
